,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.0639524757862091,0.9849548645937813,5.6161,177.524,5.698,1.0,99,,,,,,,,
1,0.05978391319513321,0.9859578736208626,5.628,177.15,5.686,2.0,198,,,,,,,,
2,0.036532312631607056,0.9889669007021064,5.6924,175.146,5.622,3.0,297,,,,,,,,
3,0.038723524659872055,0.9939819458375125,5.7673,172.871,5.549,4.0,396,,,,,,,,
4,0.03660888597369194,0.9909729187562688,5.6385,176.821,5.675,5.0,495,,,,,,,,
5,,,,,,5.05050505050505,500,0.0428,0.057277023792266846,1.797979797979798e-05,,,,,
6,0.01773512363433838,0.9949849548645938,5.5438,179.841,5.772,6.0,594,,,,,,,,
7,0.01805826649069786,0.9949849548645938,5.6976,174.985,5.616,7.0,693,,,,,,,,
8,0.024735912680625916,0.9929789368104313,5.5808,178.648,5.734,8.0,792,,,,,,,,
9,0.027072848752141,0.9939819458375125,5.6368,176.875,5.677,9.0,891,,,,,,,,
10,0.028711866587400436,0.9939819458375125,5.9126,168.624,5.412,10.0,990,,,,,,,,
11,,,,,,10.1010101010101,1000,0.0129,0.00017119738913606852,1.595959595959596e-05,,,,,
12,0.02773842215538025,0.9949849548645938,5.6124,177.642,5.702,11.0,1089,,,,,,,,
13,0.017215274274349213,0.9929789368104313,5.5508,179.612,5.765,12.0,1188,,,,,,,,
14,0.027904387563467026,0.9949849548645938,5.5846,178.525,5.73,13.0,1287,,,,,,,,
15,0.033105310052633286,0.9929789368104313,5.5151,180.777,5.802,14.0,1386,,,,,,,,
16,0.031336382031440735,0.9919759277833501,5.4709,182.236,5.849,15.0,1485,,,,,,,,
17,,,,,,15.151515151515152,1500,0.0078,0.004258450586348772,1.3939393939393942e-05,,,,,
18,0.01650802046060562,0.9939819458375125,5.4557,182.744,5.865,16.0,1584,,,,,,,,
19,0.02580520324409008,0.9949849548645938,5.5974,178.119,5.717,17.0,1683,,,,,,,,
20,0.029724396765232086,0.9949849548645938,5.7124,174.534,5.602,18.0,1782,,,,,,,,
21,0.029561495408415794,0.9949849548645938,5.5068,181.049,5.811,19.0,1881,,,,,,,,
22,0.02122187428176403,0.995987963891675,5.8719,169.792,5.45,20.0,1980,,,,,,,,
23,,,,,,20.2020202020202,2000,0.0046,0.2761739194393158,1.191919191919192e-05,,,,,
24,0.031038230285048485,0.9949849548645938,5.5871,178.448,5.728,21.0,2079,,,,,,,,
25,0.05345716327428818,0.9929789368104313,5.5862,178.476,5.728,22.0,2178,,,,,,,,
26,0.0508432537317276,0.9919759277833501,5.596,178.161,5.718,23.0,2277,,,,,,,,
27,0.03779108449816704,0.9929789368104313,5.6028,177.946,5.711,24.0,2376,,,,,,,,
28,0.026268644258379936,0.9919759277833501,5.5896,178.368,5.725,25.0,2475,,,,,,,,
29,,,,,,25.252525252525253,2500,0.0043,0.019888807088136673,9.8989898989899e-06,,,,,
30,0.02155912108719349,0.995987963891675,5.5929,178.261,5.722,26.0,2574,,,,,,,,
31,0.01970032975077629,0.995987963891675,5.4889,181.64,5.83,27.0,2673,,,,,,,,
32,0.04227234050631523,0.9929789368104313,5.487,181.703,5.832,28.0,2772,,,,,,,,
33,0.024099940434098244,0.9939819458375125,5.8155,171.439,5.503,29.0,2871,,,,,,,,
